
Jul 10, 10:52:56.763    Make sure that your memory limit is increased, using at least 8GB is recommended to process the KaVE datasets...  (-Xmx8G)
Jul 10, 10:52:56.803    Current max. memory: 10.7 GB
looking (recursively) for events in folder /home/kitty/Desktop/uni/mp/java-cc-kave-examples-master/Events-170301-2
found 85 zips

#### processing user zip 58/85: 2016-09-28/11.zip #####
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 10
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 228
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 269
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 307
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 3235
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 3285
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 3298
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 3335
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 3396
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 9532
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 9735
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 9772
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 9806
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 9810
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 9843
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 9878
10000
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 15366
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 15375
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 15404
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 15655
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 15678
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 17222
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 19492
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 19526
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 19567
20000
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 20705
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 20752
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 20832
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 20838
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 20977
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 20983
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 21057
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 21102
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 23989
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 24002
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 24056
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 24093
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 25581
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 25642
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 25694
30000
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 32444
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 33135
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 33183
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 33218
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-09-28/11.zip : 33274
2016-09-28/11.zip contains 33313 events
Session null[
TDDCycleDetector[
methodEdits: []
testresults: []
all cycles:[]
consecutive cycles: 0]
]

Working Directory = /home/kitty/Desktop/uni/mp/feedbag-stats-processor

#### Done with zip 58/85: 2016-09-28/11.zip #####

#### processing user zip 71/85: 2016-06-14/10.zip #####
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 132
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 139
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 158
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 165
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 177
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 181
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 195
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 201
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 259
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 295
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 641
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 662
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 668
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 691
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 710
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 719
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 727
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 728
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 738
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 739
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 741
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 746
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 817
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 844
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 845
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 879
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 896
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 897
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 914
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 921
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 947
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 995
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 1013
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 1644
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 1674
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 1778
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 1791
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 1797
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 2080
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 2352
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3052
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3071
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3635
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3863
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3913
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3932
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3933
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3937
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3938
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3943
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3967
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3986
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 3998
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4051
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4069
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4076
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4093
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4102
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4113
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4134
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4144
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4162
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4169
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4188
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4189
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4193
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4194
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4197
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4205
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4228
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4229
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4246
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4260
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4287
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4290
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4307
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4313
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4330
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4354
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 4379
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 6640
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 6783
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 6794
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 6795
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 6797
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7003
